dataset,p,component_1,component_2
IWN,2,0.05962843,0.94037157
IWN,2,0.04545292,0.95454708
IWN,2,0.04670451,0.95329549
IWN,2,0.08436734,0.91563266
IWN,2,0.04640941,0.95359059
IWN,2,0.05324601,0.94675399
IWN,2,0.04500657,0.95499343
IWN,2,0.07876701,0.92123299
IWN,2,0.04536576,0.95463424
IWN,2,0.04495632,0.95504368
IWN,2,0.07356074,0.92643926
IWN,2,0.04826211,0.95173789
IWN,2,0.05096038,0.94903962
IWN,2,0.04482975,0.95517025
IWN,2,0.05778732,0.94221268
IWN,2,0.04730620,0.95269380
IWN,2,0.04729053,0.95270947
IWN,2,0.04470448,0.95529552
IWN,2,0.06575905,0.93424095
IWN,2,0.04458237,0.95541763
IWN,2,0.04560140,0.95439860
IWN,2,0.07544674,0.92455326
IWN,2,0.05012063,0.94987937
IWN,2,0.22898087,0.77101913
IWN,2,0.04630619,0.95369381
IWN,2,0.04499715,0.95500285
IWN,2,0.04467658,0.95532342
IWN,2,0.04514619,0.95485381
IWN,2,0.31371540,0.68628460
IWN,2,0.05123079,0.94876921
IWN,2,0.37720422,0.62279578
IWN,2,0.04528061,0.95471939
IWN,2,0.07475125,0.92524875
IWN,2,0.05365745,0.94634255
IWN,2,0.04483072,0.95516928
IWN,2,0.08828247,0.91171753
IWN,2,0.08102486,0.91897514
IWN,2,0.04904114,0.95095886
IWN,2,0.06091713,0.93908287
IWN,2,0.04954391,0.95045609
IWN,2,0.07862349,0.92137651
IWN,2,0.04527516,0.95472484
IWN,2,0.06079229,0.93920771
IWN,2,0.05450880,0.94549120
IWN,2,0.05243231,0.94756769
IWN,2,0.04855853,0.95144147
IWN,2,0.04969922,0.95030078
IWN,2,0.04460103,0.95539897
IWN,2,0.04922432,0.95077568
IWN,2,0.05223475,0.94776525
IWN,2,0.05336289,0.94663711
IWN,2,0.04855413,0.95144587
IWN,2,0.26679840,0.73320160
IWN,2,0.05593574,0.94406426
IWN,2,0.06878343,0.93121657
IWN,2,0.14069083,0.85930917
IWN,2,0.04480460,0.95519540
IWN,2,0.08761603,0.91238397
IWN,2,0.04455795,0.95544205
IWN,2,0.04730430,0.95269570
IWN,2,0.14624714,0.85375286
IWN,2,0.04566190,0.95433810
IWN,2,0.05502497,0.94497503
IWN,2,0.10758008,0.89241992
IWN,2,0.06061817,0.93938183
IWN,2,0.07968692,0.92031308
