dataset,p,component_1,component_2
DIA,2,0.06519159,0.93480841
DIA,2,0.46899788,0.53100212
DIA,2,0.08326885,0.91673115
DIA,2,0.09803035,0.90196965
DIA,2,0.07081996,0.92918004
DIA,2,0.47226691,0.52773309
DIA,2,0.12948907,0.87051093
DIA,2,0.05621644,0.94378356
DIA,2,0.05716483,0.94283517
DIA,2,0.07118703,0.92881297
DIA,2,0.08248771,0.91751229
DIA,2,0.06046231,0.93953769
DIA,2,0.90222192,0.09777808
DIA,2,0.45897195,0.54102805
DIA,2,0.08319108,0.91680892
DIA,2,0.07010330,0.92989670
DIA,2,0.06338261,0.93661739
DIA,2,0.05719817,0.94280183
DIA,2,0.07591574,0.92408426
DIA,2,0.11830623,0.88169377
DIA,2,0.21306735,0.78693265
DIA,2,0.06231628,0.93768372
DIA,2,0.18420474,0.81579526
DIA,2,0.23376523,0.76623477
DIA,2,0.06516158,0.93483842
DIA,2,0.06747906,0.93252094
DIA,2,0.05621149,0.94378851
DIA,2,0.07872505,0.92127495
DIA,2,0.09647271,0.90352729
DIA,2,0.05723124,0.94276876
DIA,2,0.36247793,0.63752207
DIA,2,0.05631428,0.94368572
DIA,2,0.58162700,0.41837300
DIA,2,0.06755509,0.93244491
DIA,2,0.06271300,0.93728700
DIA,2,0.05610463,0.94389537
DIA,2,0.05646053,0.94353947
DIA,2,0.07864297,0.92135703
DIA,2,0.12505778,0.87494222
DIA,2,0.06048538,0.93951462
DIA,2,0.06275247,0.93724753
DIA,2,0.05612598,0.94387402
DIA,2,0.05683433,0.94316567
DIA,2,0.09875377,0.90124623
DIA,2,0.09094271,0.90905729
DIA,2,0.61896135,0.38103865
DIA,2,0.05835100,0.94164900
DIA,2,0.17201043,0.82798957
DIA,2,0.06872166,0.93127834
DIA,2,0.05694455,0.94305545
DIA,2,0.99523089,0.00476911
DIA,2,0.14830359,0.85169641
DIA,2,0.31390090,0.68609910
DIA,2,0.23535167,0.76464833
DIA,2,0.27097354,0.72902646
DIA,2,0.05801905,0.94198095
DIA,2,0.06222195,0.93777805
DIA,2,0.12260902,0.87739098
DIA,2,0.05610654,0.94389346
